"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4725-5p",17.5671027483131,13.0467046190476,11.5332255792526,1.37665899606606e-24,2.23597480252768e-23,42.664775971037
"hsa-miR-8087",13.5169502233468,11.7457758051948,11.5192988999266,1.52529774765544e-24,2.46171471931732e-23,42.5722024159741
"hsa-miR-7-2-3p",15.3341444734593,11.3900978051948,11.5128970124463,1.59889158587194e-24,2.55484091557431e-23,42.5296552155353
"hsa-miR-330-5p",14.2506755267656,11.5026230735931,11.512545161862,1.60303743722309e-24,2.55484091557431e-23,42.5273169396745
"hsa-miR-3692-5p",15.8851931981556,13.4336474761905,11.4817877664347,2.01012003685747e-24,3.18373049315935e-23,42.3229696661385
"hsa-miR-3159",12.8160378063428,9.82528448051948,11.4805977033595,2.02779111511378e-24,3.19189342193836e-23,42.3150652975072
"hsa-miR-4301",12.5204855706253,10.7762003852814,11.4772880348108,2.07775441498654e-24,3.25047469829183e-23,42.2930834391997
"hsa-miR-5002-3p",12.551884205803,9.88892348484849,11.467961086998,2.22525621900694e-24,3.46000204784615e-23,42.231143506269
"hsa-miR-4268",16.8073086079622,12.4771916277056,11.4653026776474,2.26917801088639e-24,3.50008890143384e-23,42.2134909865482
"hsa-miR-563",11.6305131475484,9.90681896536796,11.4647456997654,2.27848924563928e-24,3.50008890143384e-23,42.2097926166941
"hsa-miR-1321",12.8353146835358,10.1479775497835,11.4628373973059,2.3106809096402e-24,3.52828522130689e-23,42.1971216415079
"hsa-miR-135b-3p",10.900541074224,10.1749963766234,11.4552750291171,2.44277337568167e-24,3.70778101665968e-23,42.1469123776646
"hsa-miR-223-5p",13.7690934867296,11.1450874588745,11.4414894093414,2.70323468313131e-24,4.0788452319437e-23,42.055402274043
"hsa-miR-4632-3p",13.2354387280702,13.84751704329,11.4313713718222,2.91185305685664e-24,4.36777958528497e-23,41.9882523917633
"hsa-miR-574-3p",17.5443597015295,16.1403839047619,11.4305141992805,2.93024726581397e-24,4.36966697533663e-23,41.9825642033734
"hsa-miR-187-5p",83.6111543450292,58.6780692900433,11.428312727876,2.9780215223144e-24,4.41509004761728e-23,41.9679556675894
