"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4528",11.9606300110195,7.42327353679654,10.4377967818332,3.92656243673866e-21,1.371607426532e-19,35.617865029937
"hsa-miR-3159",11.4716839090705,10.467922987013,10.4310921127375,4.11930121295738e-21,1.41948893149207e-19,35.5741693355847
"hsa-miR-3613-3p",10.4372449135682,9.87474292207792,10.4150214827884,4.6204856015511e-21,1.57096510452737e-19,35.4694685807983
"hsa-miR-7850-5p",11.912584301949,10.2792069393939,10.3896566330678,5.53778777799452e-21,1.85807353077448e-19,35.3043162073596
"hsa-miR-4476",38.7825969784858,30.378478,10.3030376523088,1.02663203589076e-20,3.39988531366421e-19,34.7412767559318
"hsa-miR-5585-5p",10.6177673912294,9.76966349350649,10.2924632319306,1.10684822463642e-20,3.61854227284984e-19,34.672642487235
"hsa-miR-1258",10.801920138006,11.0784708398268,10.276745313952,1.23774758773537e-20,3.99526120091796e-19,34.5706652090841
"hsa-miR-563",10.0484613095952,10.7712426580087,10.2603341044265,1.39087895945385e-20,4.43342668325914e-19,34.4642429044873
"hsa-miR-449c-3p",10.6816288226387,12.2745473939394,10.2339546914641,1.67747362817087e-20,5.28093549609349e-19,34.2932937792392
"hsa-miR-4479",11.8204309842579,14.1232946666667,10.2260155030723,1.77471754580187e-20,5.51893870950581e-19,34.2418724294773
"hsa-miR-5591-5p",10.2222250422039,9.60809265367965,10.2164613620846,1.89920603752246e-20,5.83491011527986e-19,34.1800083067344
"hsa-miR-3177-5p",12.5345380209145,13.8540806190476,10.2134688303733,1.93995695260307e-20,5.8891550346879e-19,34.1606351867559
"hsa-miR-1254",25.8615237137181,23.3202323896104,10.1882228189518,2.32025993529272e-20,6.96077980587816e-19,33.9972705045699
"hsa-miR-4667-3p",15.9022364328336,13.7320754329004,10.1843211462548,2.38531414396656e-20,7.0727337989706e-19,33.9720349024113
"hsa-miR-4707-3p",37.2690137457271,30.4402402294372,10.1811447044069,2.43961399604197e-20,7.15059274701956e-19,33.9514923522779
"hsa-miR-4470",9.4594704832084,11.0925552337662,10.1738361886315,2.56926541275489e-20,7.44503045741475e-19,33.9042350052646
"hsa-miR-30d-5p",12.5494768175412,14.7910259437229,10.1536819207268,2.96341272335244e-20,8.49067690398733e-19,33.7739739963336
"hsa-miR-4726-3p",13.5075766655922,13.1024753030303,10.1471957133179,3.10263421985086e-20,8.7907969562441e-19,33.7320704819286
"hsa-miR-4435",36.5864140647676,28.3947838917749,10.1174966287176,3.82794353641855e-20,1.07266549646893e-18,33.5403158834325
"hsa-miR-3606-5p",10.1913617757871,9.60351812121212,10.1144116639867,3.91234250234357e-20,1.08439928054088e-18,33.5204082798467
"hsa-miR-539-5p",10.7575616230885,12.0284542987013,10.1066075223973,4.13420616826979e-20,1.13357265904172e-18,33.4700563844872
"hsa-miR-6856-5p",12.8013175992504,11.4095157662338,10.0975505990692,4.40741935854747e-20,1.19562971960596e-18,33.4116379200251
