"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-539-5p",14.1339689478261,10.3872538391304,13.0611611157581,1.63681320683607e-29,4.85334148538601e-28,52.8441116932941
"hsa-miR-4781-3p",13.4923168956522,9.28091349130435,13.0484280426058,1.80153049323609e-29,5.22060950525897e-28,52.7582829526366
"hsa-miR-602",18.6092801565217,13.9173586782609,13.0484212895184,1.80162210377564e-29,5.22060950525897e-28,52.7582374339836
"hsa-miR-24-1-5p",13.8432790869565,11.2367984565217,13.0384149303511,1.94260639600944e-29,5.56589473013942e-28,52.6907918995632
"hsa-miR-563",12.7546184608696,9.43156603913043,13.03316760825,2.02088849423643e-29,5.72585073366988e-28,52.6554247869789
"hsa-miR-302d-5p",12.9553352869565,10.5655810608696,13.0310410967393,2.05350273254649e-29,5.75432084394894e-28,52.6410922790721
"hsa-miR-1199-5p",20.4493664608696,15.4542297,13.0079411670408,2.44350773609508e-29,6.77276600765484e-28,52.4854099574346
"hsa-miR-193a-5p",16.4947228086957,12.278814126087,13.0047247341249,2.50338373516031e-29,6.8641166931815e-28,52.4637341229199
"hsa-miR-568",13.7873940173913,9.7749661826087,13.0013220423803,2.56832259543145e-29,6.96725810462787e-28,52.4408034412677
"hsa-miR-98-5p",13.0634660695652,10.1308607478261,12.9468604710648,3.86908709556121e-29,1.0385444309138e-27,52.0738408855888
"hsa-miR-3200-5p",14.8721361043478,10.0428745043478,12.9434927610812,3.96834442182046e-29,1.05409148704606e-27,52.0511525995318
"hsa-miR-4268",18.7451365304348,11.6503256478261,12.9189431590985,4.77298199465858e-29,1.25475299859581e-27,51.885774085925
"hsa-miR-5091",13.8650834869565,10.053949926087,12.9105949293341,5.08218605394968e-29,1.32240555485425e-27,51.8295412166218
"hsa-miR-1295a",14.2939545391304,9.49341943478261,12.895149758585,5.70793805088807e-29,1.47022646765299e-27,51.7255109015559
"hsa-miR-495-5p",15.3139206347826,11.4249423,12.8872051256234,6.05919766217732e-29,1.53206366309889e-27,51.6720036699774
"hsa-miR-4691-5p",16.6718171304348,11.0161863130435,12.8870081888221,6.06817372443091e-29,1.53206366309889e-27,51.6706773281004
"hsa-miR-518c-5p",14.6111874434783,11.1414009652174,12.8753796793036,6.62240622085282e-29,1.6556015552132e-27,51.5923635913456
"hsa-miR-559",12.5295427478261,10.562279226087,12.8651728508008,7.15037414097427e-29,1.77023825820237e-27,51.5236286923618
"hsa-miR-4655-3p",15.5536919913044,11.1381965,12.8595505995433,7.45893681696059e-29,1.82887393108168e-27,51.4857690394479
"hsa-miR-3607-5p",12.640829573913,9.68697898695652,12.8549792645394,7.71959556025339e-29,1.87475892177582e-27,51.4549870722771
"hsa-miR-486-5p",30.7105469217391,11.6109992782609,12.8476803760235,8.1547626678922e-29,1.96175894369105e-27,51.4058403297857
"hsa-miR-1254",32.0935224608696,20.3951976826087,12.8395192524615,8.67040167050963e-29,2.06631067848594e-27,51.350890310382
"hsa-miR-4719",13.6891274695652,7.83120450869565,12.835609192871,8.92885858402837e-29,2.10820272122892e-27,51.3245642758776
"hsa-miR-4693-5p",13.4921248782609,9.58242563043478,12.8260878544483,9.59085277528804e-29,2.24373161256738e-27,51.2604606925595
"hsa-miR-551b-3p",15.3811850608696,10.9375477565217,12.8216485528917,9.9160400267418e-29,2.2987183698356e-27,51.230573828123
"hsa-miR-200b-5p",14.3512400956522,10.3599146913043,12.8121988066223,1.06453730177223e-28,2.4455586662335e-27,51.1669577081728
"hsa-miR-223-5p",14.9470716869565,10.6951900434783,12.7903927379751,1.25392986443048e-28,2.85492960205153e-27,51.0201726747103
"hsa-miR-4733-5p",15.1585010086957,10.573568973913,12.7706476590214,1.45428066107591e-28,3.27453673724398e-27,50.8872786462451
"hsa-miR-106a-3p",13.1313287913044,10.8385009173913,12.7697683945116,1.46391054135613e-28,3.27453673724398e-27,50.8813611639171
"hsa-miR-4531",12.9232502347826,10.1145283347826,12.731675600598,1.94833262175362e-28,4.32021581345369e-27,50.6250285276929
"hsa-miR-4717-5p",16.2254626956522,10.6738371391304,12.7283915275722,1.99693300762533e-28,4.38980962883153e-27,50.6029325559641
"hsa-miR-551a",15.9071781565217,10.9641565652174,12.7115499963427,2.26584805603403e-28,4.93838678879212e-27,50.4896268773004
"hsa-miR-1243",12.8853118695652,10.3681291608696,12.7082743815985,2.32220688500706e-28,5.01832843793898e-27,50.4675908919151
"hsa-miR-6859-3p",22.2049560521739,14.7039395826087,12.6869324181557,2.72527427184491e-28,5.83987343966767e-27,50.3240299764494
"hsa-miR-125b-2-3p",12.5451553130435,9.40599924782609,12.6857915925361,2.74868689831202e-28,5.84095965891304e-27,50.3163566042752
"hsa-miR-4727-3p",16.6575379043478,12.6846890391304,12.6824677490381,2.81805155607239e-28,5.93886898180544e-27,50.2940002707237
"hsa-miR-32-3p",13.1001654347826,11.2427510304348,12.6705063652827,3.0824481399536e-28,6.44219088277479e-27,50.213551874581
"hsa-miR-196a-3p",14.7551255304348,9.85640930434783,12.6694305101018,3.10740971992666e-28,6.44219088277479e-27,50.2063163644905
"hsa-miR-191-3p",15.1300957826087,12.5777946478261,12.666411235156,3.178544789011e-28,6.53652355804682e-27,50.1860109674729
"hsa-miR-1255b-5p",12.1315594521739,9.63774874347826,12.6601896996978,3.33029338371188e-28,6.79379850277223e-27,50.1441709702244
"hsa-miR-4529-5p",14.8831987043478,11.6525293347826,12.653083583646,3.51248428625147e-28,7.10859915074701e-27,50.0963844990448
"hsa-miR-1255a",13.7562519652174,9.86551467826087,12.6507396240964,3.57473619776324e-28,7.17444782147737e-27,50.0806226370329
"hsa-miR-1277-3p",12.6446511478261,10.1260415478261,12.6497521173635,3.60129145548668e-28,7.17444782147737e-27,50.0739822701321
"hsa-miR-362-3p",13.2584157130435,11.1205707347826,12.6397583322964,3.88137024260356e-28,7.67247606096052e-27,50.0067830639446
"hsa-miR-1193",24.4372417217391,15.4942274956522,12.6064335314596,4.98214469111732e-28,9.77266843257629e-27,49.7827407070351
"hsa-miR-150-5p",13.5043169652174,10.2437386826087,12.5933612795053,5.49461504875718e-28,1.06956247132296e-26,49.6948718717276
"hsa-miR-3201",12.4683728434783,9.2618393173913,12.5914021646937,5.57582535045749e-28,1.07714807906565e-26,49.6817039075156
"hsa-miR-4460",14.4749565913044,7.60521716521739,12.5790996741015,6.11390004922907e-28,1.17221391921309e-26,49.599018822051
"hsa-miR-1537-3p",11.7059498956522,10.3272920521739,12.5565534921244,7.23808736497644e-28,1.37739722243955e-26,49.4475070811339
"hsa-miR-5698",44.8968694,29.228551473913,12.5375442251492,8.3447228237633e-28,1.5762254222664e-26,49.3197853422882
"hsa-miR-3119",12.9402405391304,9.37992413913044,12.5356067966696,8.46658861281076e-28,1.58748536490202e-26,49.3067690466533
"hsa-miR-5007-5p",15.0675705043478,8.20084865217391,12.5140570347205,9.94792719418744e-28,1.85162148504949e-26,49.1620047931475
"hsa-miR-3925-3p",12.7506702086957,10.3188233913043,12.5080956997383,1.04015897329063e-27,1.92203288542833e-26,49.1219631662938
"hsa-miR-371b-5p",22.9326726956522,15.1325572086957,12.5012397942811,1.09489154072695e-27,2.0086139775926e-26,49.0759153382103
"hsa-miR-6501-5p",15.5702614608696,14.348703626087,12.4966609023246,1.13303782698113e-27,2.06374747057277e-26,49.0451626326501
"hsa-miR-520f-3p",13.9051731652174,10.3268637478261,12.4789991158953,1.29301911396647e-27,2.33843882313085e-26,48.9265541968793
"hsa-miR-1286",14.7995268,11.1440417043478,12.4726421023959,1.35596101695656e-27,2.43500041777411e-26,48.8838679128832
"hsa-miR-1245b-3p",12.311532373913,9.40151637826087,12.4595656268034,1.49521182941852e-27,2.66628682868338e-26,48.7960691272938
"hsa-miR-3198",14.3167779826087,11.2171349304348,12.4555909211628,1.54030190603696e-27,2.72761795860712e-26,48.7693839731539
"hsa-miR-4756-5p",15.2409209130435,13.4383563782609,12.4522791424975,1.57890626387756e-27,2.77669722268123e-26,48.7471502682332
"hsa-miR-6747-3p",16.5646881130435,12.1973239521739,12.4456344010637,1.65929859808669e-27,2.89809001720621e-26,48.7025426411696
"hsa-miR-23c",13.5010600521739,10.5692106869565,12.4383826795313,1.75170336904702e-27,3.03866910957136e-26,48.6538632875747
"hsa-miR-106b-3p",12.9872375652174,9.31860408695652,12.435772313156,1.78620828863474e-27,3.07758860541796e-26,48.6363412080937
"hsa-miR-4749-3p",17.1047268434783,16.8947071956522,12.404590144811,2.25477822981032e-27,3.8588486483331e-26,48.4270635527387
"hsa-miR-3177-5p",15.1127875652174,12.590368573913,12.3894908191544,2.52393047705334e-27,4.29068181099067e-26,48.3257470558745
"hsa-miR-1279",12.499133,9.73935827391304,12.37383564333,2.83688757715389e-27,4.79077041174994e-26,48.2207161677533
"hsa-miR-219a-2-3p",13.6985608521739,9.9207599826087,12.3600769213868,3.14374552977549e-27,5.27404677692598e-26,48.1284217011564
"hsa-miR-634",15.5532081130435,14.4281961,12.3554923755751,3.2531811353702e-27,5.42196855895033e-26,48.0976709903479
"hsa-miR-4724-3p",14.3037676347826,11.0271405304348,12.3501120374208,3.38647095230937e-27,5.60746813531746e-26,48.0615842846896
"hsa-miR-1305",12.6741865478261,11.4401418130435,12.3436179173233,3.55463180994316e-27,5.84794265506778e-26,48.0180298248594
"hsa-miR-3688-5p",13.7666369478261,10.2464299869565,12.3404317638606,3.64015684499483e-27,5.95025638124155e-26,47.9966621013565
"hsa-miR-1182",16.8575132347826,12.1514958086957,12.3254430801292,4.07087390921536e-27,6.6119289608275e-26,47.8961505817625
"hsa-miR-3913-3p",13.7579304608696,10.0185340565217,12.3224450836586,4.16294485687907e-27,6.71867682597571e-26,47.8760483433369
"hsa-miR-3907",12.4372984608696,10.8217934652174,12.3207807295197,4.21495258217177e-27,6.75982961291698e-26,47.8648887371432
"hsa-miR-219b-3p",12.4397540695652,10.0804066521739,12.3050502303988,4.73967079982276e-27,7.55385033721752e-26,47.759423953387
"hsa-miR-614",72.5527075391305,31.4055211434783,12.3001485978164,4.91613035206086e-27,7.78641763835726e-26,47.7265645118755
"hsa-miR-503-5p",14.1560900956522,10.3443411347826,12.2982841516642,4.98495870017253e-27,7.84669425027157e-26,47.7140661169262
"hsa-miR-1468-5p",14.6898905217391,10.3921872,12.2974268680413,5.01692830650156e-27,7.84856882305459e-26,47.708319359433
